NRO_SOCIO,MEDIDOR,CATEGORIA_MEDIDOR
000303/0001,6423,C
000354/0011,20706,C
000354/0012,19360,C
000354/0013,17773,C
000354/0015,1786,C
000354/0018,12815,C
000354/0042,10767,C
000354/0042,20998,R
000354/0102,12501,C
000354/0284,24985,C
000354/0284,25452,C
002402/0001,21301,C
003261/0001,13522,C
003725/0005,18611,C
004352/0001,4781,C
004352/0001,1050,C
004536/0001,22246,C
005012/0004,21312,C
005012/0004,23525,C
005012/0004,18887,C
005012/0004,13952,C
005084/0004,18557,C
005369/0003,8328,C
005369/0003,8648,C
005369/0021,21608,C
005650/0010,20480,C
005650/0010,27041,C
005650/0011,25537,C
005650/0011,17530,C
005650/0012,19328,C
005650/0012,12703,C
005650/0012,2706,C
005650/0012,7094,C
005650/0013,24453,C
005650/0014,18621,C
005650/0014,7018,C
005650/0014,26290,C
005650/0014,22303,C
005650/0014,25451,C
005650/0014,17769,C
005650/0015,12005,C
005650/0015,13437,C
005650/0025,21020,C
005650/0025,17355,C
005735/0008,4746,C
005777/0004,17045,C
005914/0001,27799,C
006107/0001,15735,C
006453/0010,27271,C
008083/0001,29975,C
008083/0001,29975,X
008703/0001,16261,C
009206/0001,16608,C
009357/0001,3755,C
009566/0001,9232,C
009814/0001,14936,C
010016/0002,11514,C
010016/0002,5030,C
010219/0001,17222,C
010225/0001,29336,C
010331/0001,23582,C
010427/0004,17918,C
010427/0004,4012284,C
010629/0003,6698,C
010669/0005,21291,C
010859/0001,15935,C
011300/0001,29740,C
011362/0001,20424,C
011668/0002,15498,C
012288/0003,17240,C
013471/0004,26194,C
014098/0001,18448,C
014721/0008,18470,C
014947/0001,3952,C
015546/0002,15537,C
015912/0001,15943,C
015912/0001,25885,C
015912/0003,28520,C
017559/0003,834,C
019764/0001,2781,C
020489/0002,16507,C
021281/0001,25466,C
021425/0001,30023,C
022069/0001,15752,C
022121/0001,214084,C
022740/0001,17482,C
023019/0001,29719,C
023065/0003,26317,C
023974/0001,6642,C
023974/0002,6891,C
024180/0001,11829,C
024413/0002,29998,C
024413/0002,29998,X
025512/0001,23478,C
025512/0001,18955,C
025785/0003,24814,C
026606/0001,12503,C
026948/0001,455,C
027718/0002,5924,C
028522/0001,22029,C
028772/0001,18604,C
028797/0001,8864,C
028797/0002,21215,C
029137/0001,18737,C
029152/0003,12549,C
029482/0002,18996,C
031743/0002,3002,C
031743/0002,3002,X
032206/0001,29226,C
032257/0001,23738,C
032316/0002,12896,C
032336/0003,30060,C
032493/0001,19796,C
032725/0001,21971,C
032909/0001,776,C
032935/0003,22845,C
032993/0002,19586,C
033012/0002,21819,C
033012/0004,20294,C
033090/0001,14444,C
033172/0001,1525,R
033172/0001,1831,C
033469/0001,16690,C
033489/0001,29285,C
033725/0002,19491,C
034123/0001,25778,C
034123/0001,4872,C
034514/0001,19527,C
034623/0001,24392,C
034623/0001,17256,C
034869/0001,25452,C
035214/0001,13540,C
035331/0001,23721,C
035481/0001,26759,C
036217/0001,9059,C
037116/0001,28960,C
038089/0001,20753,C
038212/0001,13758,C
038212/0001,21135,R
038212/0001,21042,C
044455/0001,15737,C
045092/0003,30163,C
045542/0001,16069,C
045744/0001,24133,C
045744/0001,11986,C
046204/0001,26532,C
047041/0002,14929,R
047041/0002,7559,C
047106/0002,28958,C
051618/0002,301,C
051899/0001,1740615498,C
090001/0001,27470,C
090001/0002,12481,C
090001/0002,13888,C
090001/0002,18591,C
090001/0002,18613,C
090001/0002,25888,C
090001/0002,26724,C
090001/0003,11886,C
090001/0003,13451,C
090001/0003,14188,C
090001/0003,18499,C
090001/0004,17065,P
090001/0004,22047,P
090001/0004,23213,P
090001/0004,17065,C
090001/0004,22047,C
090001/0004,23213,C
090001/0004,17065,N
090001/0004,22047,N
090001/0004,23213,N
090001/0007,12495,C
090001/0007,15929,C
090001/0007,20458,C
090001/0007,26418,C
090001/0010,15898,C
090001/0010,25942,C
090001/0013,14608,C
090001/0013,17161,C
090001/0017,22534,C
090001/0017,18528,C
090001/0024,12508,C
090001/0024,13024,C
090001/0024,18504,C
090001/0024,19221,C
090001/0024,17842,C
090001/0024,10737,P
090001/0024,19154,C
090001/0037,19968,C
090001/0037,23226,C
090001/0037,24149,C
090001/0038,23694,C
090001/0047,20852,P
090001/0047,23212,P
090001/0047,20852,C
090001/0047,23212,C
090001/0047,20852,N
090001/0047,23212,N
090001/0058,29309,C
099805/0001,17400,C
099805/0001,20888,C
099805/0002,17767,P
099805/0002,17767,C
099805/0002,17767,N
099805/0002,17767,R
099900/0006,25500,C
099900/0006,17771,C
099900/0017,17146,C
099900/0017,26528,C
099900/0025,30048,C
099900/0034,28707,C
099900/0042,15769,C
099900/0044,29339,C
099900/0050,5956,C
099900/0073,16371,C
099900/0078,29320,C
099908/0003,14904,C
099928/0001,28475,C
099928/0019,16364,C
099928/0047,29510,C
099929/0002,29314,C
099929/0006,28642,C
099982/0001,22200,C
100106/0001,22208,C
